ProjectionLayer,MatrixId,Family,ExistingId,CanonicalName,ReconciliationStatus,TargetAuthority,TargetConfidence,Action,Notes
core_canonical,REC-CTR-001,contract,CTR-001,CreateInvoice,supported_exact,official_spec,gold,Keep canonical contract and preserve transport/detail notes,Direct official contract support now exists and reference V-SDC envelope stays supplemental
core_canonical,REC-CTR-002,contract,CTR-002,GetStatus,supported_exact,official_spec,gold,Keep canonical contract,Official service contract and manual endpoint behavior align cleanly
core_canonical,REC-CTR-003,contract,CTR-003,GetEnvironmentParameters,supported_exact,official_spec,gold,Keep canonical contract,Official service contract now has direct evidence and manual no-card behavior support
core_canonical,REC-CTR-004,contract,CTR-004,VerifyPin,supported_exact,official_spec,gold,Keep canonical contract,Transport shape and validator/status set are explicitly documented
core_canonical,REC-CTR-005,contract,CTR-005,Attention,supported_exact,official_spec,gold,Keep canonical contract,Direct official E-SDC availability probe contract added during reconciliation
transform_before_finalize,REC-CTR-006,contract,CTR-006,GetLastSignedInvoice,supported_split,official_spec,gold,Split into HTTP recovery contract and secure-element APDU contract,Old row conflated GET /api/v3/invoices/{requestId} recovery with the distinct APDU Get Last Signed Invoice command
core_canonical,REC-CTR-007,contract,CTR-007,SelectSEApplet,supported_exact,official_spec,gold,Keep canonical contract,Official APDU definition and reference sample agree on the AID and usage
core_canonical,REC-CTR-008,contract,CTR-008,GetSecureElementVersion,supported_exact,official_spec,gold,Keep canonical contract,Direct official APDU version contract exists
core_canonical,REC-CTR-009,contract,CTR-009,ForwardSecureElementDirective,supported_exact,official_spec,gold,Keep canonical contract,Official APDU directive contract is primary and reference SECommand remains corroborating implementation evidence
core_canonical,REC-CTR-010,contract,CTR-010,GetCertParams,supported_exact,official_spec,gold,Keep canonical contract,Direct official APDU certificate-parameter contract exists
core_canonical,REC-CTR-011,contract,CTR-011,SignInvoiceApdu,supported_exact,official_spec,gold,Keep canonical contract,Official APDU contract is primary and reference samples provide payload-shape deltas by version
core_canonical,REC-CTR-012,contract,CTR-012,AmountStatusApdu,supported_exact,official_spec,gold,Keep canonical contract,Official APDU contract plus audit-threshold rule and reference reader corroboration align
core_canonical,REC-CTR-013,contract,CTR-013,SelectPKIApplet,supported_exact,official_spec,gold,Keep canonical contract,Official version-gated AIDs should drive the canonical form while legacy reference AID remains corroborating
guidance_canonical,REC-CTR-014,contract,CTR-014,GetInvoiceVerificationJson,supported_exact,official_guidance,silver,Keep canonical contract,Public verification JSON mode remains guidance-backed rather than core protocol-backed
transform_before_finalize,REC-CTR-015,contract,CTR-015,ExportSecureElementCertificate,supported_merge,official_spec,gold,Rename or alias to official ExportCertificateApdu while preserving certificate-metadata notes,Old row is real but its strongest backing is now the official Export Certificate APDU section
reference_only,REC-CTR-016,contract,CTR-016,ExportPkiCertificate,reference_only,reference_impl,bronze,Keep only as adapter/reference contract unless stronger official evidence appears,Current corpus support is implementation-only
transform_before_finalize,REC-CTR-017,contract,CTR-017,ExportInternalDataApdu,conflicted,official_spec,gold,Supersede with ExportAuditDataApdu and demote old name to historical/reference alias,Official documentation says Export Internal Data naming was replaced by Export Audit Data
transform_before_finalize,REC-CTR-018,contract,CTR-018,FinishAuditApdu,supported_merge,official_spec,gold,Rename canonical contract to EndAuditApdu and preserve FinishAudit as reference alias,Official spec uses End Audit while reference reader uses FinishAudit for the same APDU concept
core_canonical,REC-TYP-001,type,TYP-001,InvoiceRequest,supported_exact,official_spec,gold,Keep canonical type,Official request model and manual example align on the core schema
core_canonical,REC-TYP-002,type,TYP-002,PaymentItem,supported_exact,official_spec,gold,Keep canonical type,Official request model and payment guidance support repeated payment allocations
core_canonical,REC-TYP-003,type,TYP-003,InvoiceResult,supported_exact,official_spec,gold,Keep canonical type,Official response field cluster and two phase flow narrative align
core_canonical,REC-TYP-004,type,TYP-004,StatusResponse,supported_exact,official_spec,gold,Keep canonical type,Official service contract and manual endpoint behavior support the response model
core_canonical,REC-TYP-005,type,TYP-005,EnvironmentParametersResponse,supported_exact,official_spec,gold,Keep canonical type,Official environment contract defines the response and reference persistence is only supplemental
core_canonical,REC-TYP-006,type,TYP-006,ValidationErrorResponse,supported_exact,official_spec,gold,Keep canonical type,Official ModelErrors schema directly supports this type
core_canonical,REC-TYP-007,type,TYP-007,InvoiceItem,supported_exact,official_spec,gold,Keep canonical type,Official request model and receipt content inventories support item modeling
core_canonical,REC-TYP-008,type,TYP-008,TaxItem,supported_exact,official_spec,gold,Keep canonical type,Official response field cluster explicitly contains the tax item shape
core_canonical,REC-TYP-009,type,TYP-009,BuyerIdentification,supported_exact,official_codebook,gold,Keep canonical type,The codebook and guidance support one buyer identification value object with code driven semantics
core_canonical,REC-TYP-010,type,TYP-010,ReferentDocument,supported_exact,official_rulebook,gold,Keep canonical type,Rulebook and technical guidance confirm one context driven reference document concept
core_canonical,REC-TYP-011,type,TYP-011,InvoiceOptions,supported_exact,official_spec,gold,Keep canonical type,Official request model and manual example both expose the same option flags
core_canonical,REC-TYP-012,type,TYP-012,EnvironmentEndpoints,supported_exact,official_spec,gold,Keep canonical type,Official environment response defines the endpoint bundle and reference persistence only mirrors it
core_canonical,REC-TYP-013,type,TYP-013,PinPlainText,supported_exact,official_spec,gold,Keep canonical type,VerifyPin transport and formatting rules define this primitive cleanly
core_canonical,REC-TYP-014,type,TYP-014,GeneralStatusCodeText,supported_exact,official_spec,gold,Keep canonical type,Plain text status code behavior is explicit in the VerifyPin contract and manual matrices
core_canonical,REC-TYP-015,type,TYP-015,BuyerIdentificationCode,supported_exact,official_codebook,gold,Keep canonical type,The buyer codebook is the primary authority for this prefix family
core_canonical,REC-TYP-016,type,TYP-016,BuyerOptionalFieldCode,supported_exact,official_codebook,gold,Keep canonical type,The optional buyer field codebook directly supports this prefix family
core_canonical,REC-TYP-017,type,TYP-017,SecureElementVersionResponse,supported_exact,official_spec,gold,Keep canonical type,Official APDU response definition is direct and complete
core_canonical,REC-TYP-018,type,TYP-018,SecureElementCertParamsResponse,supported_exact,official_spec,gold,Keep canonical type,Official APDU response definition is direct and complete
core_canonical,REC-TYP-019,type,TYP-019,AmountStatusResponse,supported_exact,official_spec,gold,Keep canonical type,Official APDU structure and audit threshold guidance align on the same payload
core_canonical,REC-TYP-020,type,TYP-020,SignInvoiceApduRequest,supported_exact,official_spec,gold,Keep canonical type,Official APDU structure is primary and reference samples provide version delta detail
core_canonical,REC-TYP-021,type,TYP-021,SignInvoiceApduResponse,supported_exact,official_spec,gold,Keep canonical type,Official Sign Invoice and Get Last Signed Invoice sections support the same response structure
derived_layer,REC-TYP-022,type,TYP-022,LastSignedInvoiceRequest,supported_weaker,official_spec,gold,Keep only as an empty invocation type if symmetry is useful,Official evidence proves the APDU command but not a meaningful request body schema
core_canonical,REC-TYP-023,type,TYP-023,LastSignedInvoiceResponse,supported_exact,official_spec,gold,Keep canonical type,Official APDU section explicitly reuses the Sign Invoice response structure
core_canonical,REC-TYP-024,type,TYP-024,ForwardSecureElementDirectiveRequest,supported_exact,official_spec,gold,Keep canonical type,Official APDU contract directly supports an opaque directive payload type
core_canonical,REC-TYP-025,type,TYP-025,ValidationErrorItem,supported_exact,official_spec,gold,Keep canonical type,Official ModelError entry shape directly supports this type
core_canonical,REC-TYP-026,type,TYP-026,SecurityElementFormFactor,supported_exact,normative,gold,Keep canonical type,The BE rulebook directly enumerates allowed form factors
core_canonical,REC-TYP-027,type,TYP-027,SecurityElementCounterFamily,supported_exact,normative,gold,Keep canonical type,The BE rulebook directly describes the required counter families
core_canonical,REC-TYP-028,type,TYP-028,Uid,supported_exact,official_spec,gold,Keep canonical primitive,Certificate export and cert params support the same UID primitive
core_canonical,REC-TYP-029,type,TYP-029,PacCode,supported_exact,official_spec,gold,Keep canonical primitive,Concepts material defines this primitive explicitly
core_canonical,REC-TYP-030,type,TYP-030,PfxCertificatePassword,supported_exact,official_spec,gold,Keep canonical primitive,Concepts material defines this primitive explicitly
core_canonical,REC-TYP-031,type,TYP-031,ManufacturerRegistrationCode,supported_exact,official_spec,gold,Keep canonical type,Concepts and protocol guidance align on MRC structure and usage
core_canonical,REC-TYP-032,type,TYP-032,VerificationUrl,supported_exact,official_spec,gold,Keep canonical primitive,Conceptual rendering and public verification guidance support one unified verification URL concept
core_canonical,REC-TYP-033,type,TYP-033,RequestId,supported_exact,official_spec,gold,Keep canonical primitive,CreateInvoice transport detail and recovery guidance define this correlation primitive
guidance_canonical,REC-TYP-034,type,TYP-034,InvoiceVerificationResponse,supported_exact,official_guidance,silver,Keep canonical type,Applications guidance explicitly documents the JSON verification payload
guidance_canonical,REC-TYP-035,type,TYP-035,VerifiedInvoiceRequestView,supported_exact,official_guidance,silver,Keep canonical type,The applications guide explicitly exposes the nested request view
guidance_canonical,REC-TYP-036,type,TYP-036,VerifiedPaymentItem,supported_exact,official_guidance,silver,Keep canonical type,The applications guide explicitly exposes the nested payment view
guidance_canonical,REC-TYP-037,type,TYP-037,VerifiedInvoiceResultView,supported_exact,official_guidance,silver,Keep canonical type,The applications guide explicitly exposes the nested result view
reference_only,REC-TYP-038,type,TYP-038,CertificateMetadata,reference_only,reference_impl,bronze,Keep only as adapter/reference model unless stronger official evidence appears,Official corpus supports certificate export but not this exact helper object
core_canonical,REC-TYP-039,type,TYP-039,ProofOfAudit,supported_exact,official_spec,gold,Keep canonical primitive,Official audit commands support one opaque proof payload consumed at audit finalization
core_canonical,REC-ENUM-001,enum_family,ENUM-001..ENUM-002,RSReceiptKind,supported_exact,normative,gold,Keep canonical enum family,Rulebook and technical guide both support the Serbian legal receipt-kind pair Promet and Avans
core_canonical,REC-ENUM-002,enum_family,ENUM-003..ENUM-005,RSFiscalDocumentKind,supported_exact,normative,gold,Keep canonical enum family,Rulebook and technical guide both support the non-fiscal document family Copy Training and Proforma
core_canonical,REC-ENUM-003,enum_family,ENUM-006..ENUM-007,RSTransactionKind,supported_exact,normative,gold,Keep canonical enum family,Rulebook defines the sale vs refund or cancellation legal family and the guide repeats it
core_canonical,REC-ENUM-004,enum_family,ENUM-008..ENUM-014,RSPaymentMethod,supported_exact,normative,gold,Keep canonical enum family,Rulebook and guidance support the seven Serbian payment labels and mixed-payment behavior
core_canonical,REC-ENUM-005,enum_family,ENUM-015..ENUM-019,TaxCoreInvoiceType,supported_exact,official_spec,gold,Keep canonical enum family,Official CreateInvoice model and SignInvoice APDU field semantics support the five protocol invoice-type values
core_canonical,REC-ENUM-006,enum_family,ENUM-020..ENUM-021,TaxCoreTransactionType,supported_exact,official_spec,gold,Keep canonical enum family,Official CreateInvoice model and SignInvoice APDU field semantics support the Sale and Refund protocol values
core_canonical,REC-ENUM-007,enum_family,ENUM-022..ENUM-028,TaxCorePaymentType,supported_exact,official_spec,gold,Keep canonical enum family,Official numeric mapping is explicit and Serbian materials help only with the crosswalk
core_canonical,REC-ENUM-008,enum_family,ENUM-029..ENUM-030,InvoiceOptionFlag,supported_exact,official_spec,gold,Keep canonical enum family,Official request model explicitly constrains the option flags to string values 0 and 1
core_canonical,REC-ENUM-009,enum_family,ENUM-031..ENUM-049,RSBuyerIdentificationCode,supported_exact,official_codebook,gold,Keep canonical enum family,The buyer codebook is primary and later guidance only sharpens diplomatic and foreign-customer usage
core_canonical,REC-ENUM-010,enum_family,ENUM-050..ENUM-057,RSBuyerOptionalFieldCode,supported_exact,official_codebook,gold,Keep canonical enum family,The buyer optional-field codebook is primary and guidance only adjusts practical use expectations
core_canonical,REC-ENUM-011,enum_family,ENUM-058..ENUM-061,SecurityElementFormFactor,supported_exact,normative,gold,Keep canonical enum family,The BE rulebook directly enumerates the allowed form factors
core_canonical,REC-ENUM-012,enum_family,ENUM-062..ENUM-065,SecurityElementCounterFamily,supported_exact,normative,gold,Keep canonical enum family,The BE rulebook directly defines the counter families that must exist
reference_only,REC-ENUM-013,enum_family,ENUM-066..ENUM-073,CertificateType,reference_only,reference_impl,bronze,Keep only as adapter/reference enum family unless stronger official evidence appears,This family is useful for certificate-adapter work but not part of the core official fiscal protocol corpus
guidance_canonical,REC-RUL-001,rule_cluster,RUL-001; RUL-014; RUL-015; RUL-025; RUL-026; RUL-027; RUL-038; RUL-039; RUL-041; RUL-042; RUL-101,LPFR availability PIN session and audit gating,supported_exact,official_spec,silver,Keep cluster and preserve both spec and manual-test layers,The operational story is strongly corroborated across spec manual tests and BE rulebook materials
guidance_canonical,REC-RUL-002,rule_cluster,RUL-043; RUL-044; RUL-050; RUL-051; RUL-052; RUL-053,ESIR connectivity rendering fidelity and delivery behavior,supported_exact,official_manual_test,silver,Keep cluster as approval-facing ESIR behavior set,This family is driven mainly by manual-test expectations rather than protocol text
core_canonical,REC-RUL-003,rule_cluster,RUL-006; RUL-007; RUL-047,Receipt classification and non-fiscal warning typography,supported_exact,normative,gold,Keep cluster and preserve stronger typography detail from technical guidance,Legal classification is normative while the font-emphasis detail is sharpened by technical and manual-test material
core_canonical,REC-RUL-004,rule_cluster,RUL-011; RUL-076,Verification presentation on printed vs electronic receipts,supported_exact,official_spec,gold,Keep cluster,Normative and technical sources align that QR and hyperlink are two renderings of the same verification path
guidance_canonical,REC-RUL-005,rule_cluster,RUL-078; RUL-098,Public verification JSON access,supported_exact,official_guidance,silver,Keep cluster as guidance-backed public verification behavior,The JSON mode is explicit in the applications guidance but not part of the core LPFR protocol spec
core_canonical,REC-RUL-006,rule_cluster,RUL-009; RUL-010,Serbian payment labels mixed-payment support and restricted cash-display contexts,supported_exact,normative,gold,Keep cluster,Rulebook and FAQ material consistently support the payment-label set and mixed-payment allocation requirement
derived_layer,REC-RUL-007,rule_cluster,RUL-033,Serbian to TaxCore payment crosswalk,supported_weaker,derived_from_official_plus_reference,silver,Keep as a derived serialization rule not as a legal enum source,The crosswalk is useful and well supported but it is still a reconciliation layer between Serbian display labels and the generic protocol enum
guidance_canonical,REC-RUL-008,rule_cluster,RUL-012; RUL-017; RUL-048; RUL-049; RUL-055; RUL-095; RUL-096; RUL-097,Reference document ESIR-time and request-recovery rules,supported_exact,official_spec,silver,Keep cluster and preserve source-layer notes,This family mixes hard request-shape rules with manual and taxpayer-facing flow requirements
core_canonical,REC-RUL-009,rule_cluster,RUL-018; RUL-019; RUL-020; RUL-036; RUL-037; RUL-056; RUL-057; RUL-060; RUL-061,Buyer identification baseline syntax length and receipt-display rules,supported_exact,official_codebook,gold,Keep cluster as the hard Serbian buyer-schema baseline,The codebook and technical instruction provide direct support for the code-prefixed syntax families and rendering baseline
derived_layer,REC-RUL-010,rule_cluster,RUL-080; RUL-081; RUL-082; RUL-083; RUL-084; RUL-085; RUL-086; RUL-087; RUL-088; RUL-089; RUL-090; RUL-092,Buyer validator derivation layer and non-publication boundaries,supported_weaker,derived_from_official,silver,Keep as derived validator guidance and avoid over-promoting to hard normative truth,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes
transform_before_finalize,REC-RUL-011,rule_cluster,RUL-021; RUL-022; RUL-023; RUL-024; RUL-091; RUL-093; RUL-094,Corporate-card refund and buyer-trace branches,supported_split,official_technical,silver,Split baseline refund rules from lower-authority noncash guidance when producing final canonical rules,Baseline refund and corporate-card flows are strong but the noncash refund branch remains guidance-level and partially unpublished in request-shape terms
core_canonical,REC-RUL-012,rule_cluster,RUL-065; RUL-066; RUL-067; RUL-068; RUL-069; RUL-070; RUL-071; RUL-072,Security-element legal status lifecycle and binding scope,supported_exact,official_normative,gold,Keep cluster,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail
core_canonical,REC-RUL-013,rule_cluster,RUL-073; RUL-074; RUL-075; RUL-077,Identity and authentication primitives for UID PAC PFX and MRC,supported_exact,official_spec,gold,Keep cluster,These primitives are directly supported by concepts and protocol material
guidance_canonical,REC-RUL-014,rule_cluster,RUL-004,Approval change control and re-review trigger,supported_exact,official_technical,silver,Keep cluster,The technical instruction and approval manuals strongly support this as an approval-sensitive design constraint
reference_only,REC-RUL-015,rule_cluster,RUL-079,V-SDC reference request envelope,reference_only,reference_impl,bronze,Keep as a transport/reference rule rather than core protocol truth,Useful for adapter work but the authoritative contract remains the official CreateInvoice protocol
reference_only,REC-RUL-016,rule_cluster,RUL-099; RUL-100,Reference smart-card lock and remaining-tries UX,reference_only,reference_impl,bronze,Keep only as adapter UX guidance unless stronger official smart-card status material is added,These rows are helpful for future adapters but remain implementation evidence
core_canonical,REC-FLD-001,field_cluster,InvoiceRequest; PaymentItem; InvoiceOptions; InvoiceItem,CreateInvoice request schema graph,supported_exact,official_spec,gold,Keep canonical request-field graph while preserving Serbian buyer-field notes,The request DTO is strongly backed by the spec and the Serbian buyer overlays are directly supported by codebook and technical materials
core_canonical,REC-FLD-002,field_cluster,InvoiceResult; TaxItem,CreateInvoice response schema graph,supported_exact,official_spec,gold,Keep canonical response-field graph,Official response clusters and rendering/journal expectations align well
core_canonical,REC-FLD-003,field_cluster,StatusResponse,GetStatus response fields,supported_exact,official_spec,gold,Keep canonical field set and keep degraded-state notes,The spec defines the field set and the manual matrix explains how some arrays behave in degraded conditions
core_canonical,REC-FLD-004,field_cluster,EnvironmentParametersResponse; EnvironmentEndpoints,Environment bootstrap response fields,supported_exact,official_spec,gold,Keep canonical field set with open-ended endpoint object semantics,The official response shape is direct while reference app persistence only reinforces known endpoint members
core_canonical,REC-FLD-005,field_cluster,ValidationErrorResponse; ValidationErrorItem,Structured validation error payload fields,supported_exact,official_spec,gold,Keep canonical error-payload field set,Official ModelErrors schema directly supports these fields
core_canonical,REC-FLD-006,field_cluster,SecureElementVersionResponse; SecureElementCertParamsResponse; AmountStatusResponse,Secure-element primitive response fields,supported_exact,official_spec,gold,Keep canonical field sets,These byte-level response structures are directly specified
core_canonical,REC-FLD-007,field_cluster,SignInvoiceApduRequest; ForwardSecureElementDirectiveRequest,Secure-element request payload byte fields,supported_exact,official_spec,gold,Keep canonical byte-level request field sets,The spec directly defines the byte layouts and version-gated CRC behavior
core_canonical,REC-FLD-008,field_cluster,SignInvoiceApduResponse; LastSignedInvoiceResponse,Secure-element signed-response byte fields,supported_exact,official_spec,gold,Keep canonical byte-level response field sets and preserve shared-layout note,The official APDU sections explicitly state that LastSignedInvoice reuses the SignInvoice response shape
guidance_canonical,REC-FLD-009,field_cluster,InvoiceVerificationResponse; VerifiedInvoiceRequestView; VerifiedPaymentItem; VerifiedInvoiceResultView,Public verification JSON field graph,supported_exact,official_guidance,silver,Keep canonical guidance-backed verification field graph,This shape is explicit in the applications guide but remains outside the core LPFR protocol spec
reference_only,REC-FLD-010,field_cluster,CertificateMetadata,Reference certificate-helper metadata fields,reference_only,reference_impl,bronze,Keep only as adapter/reference field graph unless stronger official evidence appears,Official corpus supports certificate export but not this exact helper object shape
reference_only,REC-ERR-001,error_cluster,LPFR_TRANSPORT:text_plain_errors,LPFR plain-text transport behavior,reference_only,official_manual_test,silver,Keep as transport-normalization note rather than a universal canonical error contract,This behavior is important for integration but not the primary structured error model
core_canonical,REC-ERR-002,error_cluster,GENERAL_STATUS_CODE:0000-2400,General status and operational LPFR/SE codes,supported_exact,official_spec,gold,Keep canonical code family,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations
core_canonical,REC-ERR-003,error_cluster,GENERAL_STATUS_CODE:2800-2813,Validation-oriented general status codes including obsolete entries,supported_exact,official_spec,gold,Keep canonical validation-code family and preserve obsolete markers,The validation payload model and VerifyPin format rules support these codes directly
core_canonical,REC-ERR-004,error_cluster,SE_APDU_STATUS,Secure Element APDU status words and POS mappings,supported_exact,official_spec,gold,Keep canonical APDU status family,The official APDU error table directly supports this entire status-word family
guidance_canonical,REC-ERR-005,error_cluster,LPFR_HTTP_EXPECTATION,Manual endpoint HTTP-status plus body expectations,supported_exact,official_manual_test,silver,Keep as operational endpoint-expectation family,This is approval/manual-test behavior rather than the core code system but it is highly relevant for integration handling
reference_only,REC-ERR-006,error_cluster,SMART_CARD_STATUS,Reference PKI smart-card status words and tries-left encoding,reference_only,reference_impl,bronze,Keep only as adapter/reference error family unless stronger official smart-card evidence appears,Useful for smart-card UX translation but not part of the core fiscal protocol corpus
