CatalogLayer,LayerBasis,LayerNotes,RuleId,AppliesTo,RuleType,RuleText,Severity,TriggerContext,ExpectedError,Authority,Confidence,SourceRefs,Notes
derived_layer,transform_resolution,Buyer optional-field generic payload class is a useful validator derivation rather than an explicit published schema,RUL-062,Buyer optional field generic payload class,validation,The Serbian buyerCostCenterId payload is documented as an alphanumeric designation of the related document or purpose unless a stricter format is documented for a specific code such as 60,warning,Invoice with Serbian optional buyer field,Validators should accept general alphanumeric document markers and then apply code-specific tightening where available,official_technical,high,KB-005; KB-016; KB-017,This supports SNPDV LNPDV PPO-PDV and corporate-card number scenarios without overfitting them to digits only
derived_layer,transform_resolution,Number-family split remains a derivation layer because exact national regexes are not published,RUL-063,Buyer identification number-family split,validation,Within the Serbian codebook the payloads behind codes 10 11 12 14 15 and 16 are explicitly described as named number systems PIB JMBG JBKJS and BPG and should therefore be treated as number-family identifiers even though their exact national lengths are not specified here,warning,Invoice with Serbian buyer identification,Use numeric-family parsing for these codes and keep exact length checks as a later stricter layer,derived_from_official,medium,KB-005; KB-016,This is stronger than pure free text but still intentionally stops short of asserting national regexes not stated in the source
derived_layer,transform_resolution,Foreign-TIN alphanumeric allowance is a derived validator bridge from generic TIN guidance to Serbian code 40,RUL-064,Foreign TIN is not digits-only,validation,Validators must not assume that a foreign TIN is numeric-only because TaxCore documentation explicitly states that TINs in some countries may contain letters,warning,Invoice with Serbian buyer identification code 40,Buyer identification code 40 should allow alphanumeric payloads rather than a digits-only regex,derived_from_official_plus_codebook,medium,KB-006; KB-016,This bridges the generic TIN formatting guidance to the Serbian foreign-TIN code
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-065,Security element mandatory for fiscal status,normative,A receipt issued without using the security element cannot be treated as a fiscal receipt,error,Fiscalization and receipt validity,Issuance without the BE is legally non-fiscal,official_normative,high,KB-011,This is a direct legal rule not just an implementation detail
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-066,Security element binding scope,normative,The security element is personalized to a specific taxpayer business premises and business room and must not be used by an unauthorized party in another premises room or mismatched fiscal device,error,Security element assignment and deployment,The BE must be bound to the intended EFU installation scope,official_normative,high,KB-011,This sharply limits cross-device or cross-location reuse
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-067,Security element normative counter obligations,normative,After each transaction the security element must maintain and increment counters for invoice sequence receipt-kind and transaction splits tax-rate totals and overall turnover and tax totals,error,Security element fiscal state management,Counter integrity is a mandatory BE responsibility,official_normative,high,KB-011,The rulebook states both the counter families and that they increase after each transaction
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-068,Security element allowed issuance forms,normative,The Serbian security element may be issued only in the documented forms smart card smart SD card USB token or protected file such as PFX,warning,Provisioning and adapter support,Supported deployment options should map to one of the normative BE forms,official_normative,high,KB-011,
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-069,Security element certificate lifecycle,normative,The BE certificate validity window is at least one year and at most four years and after expiry the BE must no longer be used,error,Security element lifecycle management,Expired BE blocks further valid fiscalization,official_normative,high,KB-011,The same rule also allows requesting a replacement within 30 days before expiry
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-070,Security element replacement lead time,normative,A new security element may be requested within the 30-day window before expiry of the current one,warning,Operational renewal planning,Renewal should be tracked ahead of certificate expiration,official_normative,high,KB-011,
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-071,Security element incident deactivation window,normative,If the security element is stolen damaged or destroyed the taxpayer must notify the Tax Authority electronically within three days so it can be deactivated,error,Security incident handling,Deactivation notice must be sent through the Tax Authority portal within three days,official_normative,high,KB-011,
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-072,Security element certificate dual purpose,normative,The certificate inside the security element is used both to reproduce the taxpayer digital signature on fiscal receipts and to reproduce the protected taxpayer secret when connecting to the Tax Authority system,warning,Authentication and signing design,Do not model BE certificates as signing-only artifacts,official_normative,high,KB-011,
core_canonical,REC-RUL-013,These primitives are directly supported by concepts and protocol material,RUL-073,UID canonical format and certificate binding,validation,UID is a secure-element identifier that always consists of 8 uppercase alphanumeric characters and is stored in the digital certificate Subject SERIALNUMBER field,error,Certificate parsing invoice-number composition and status payloads,Parsers and validators should treat UID as a strict 8-character uppercase token,official_spec,high,KB-006; KB-010,
core_canonical,REC-RUL-013,These primitives are directly supported by concepts and protocol material,RUL-074,PFX certificate password format,validation,PFX certificate password is always an 8-character uppercase alphanumeric code,error,PFX installation and connected-scenario setup,Reject or flag malformed PFX password captures before attempting certificate installation,official_spec,high,KB-010,
core_canonical,REC-RUL-013,These primitives are directly supported by concepts and protocol material,RUL-075,PAC code format,validation,PAC is always a 6-character uppercase alphanumeric code used to confirm authorization when issuing fiscal invoices with a PFX certificate,error,Connected V-SDC authentication with PFX certificate,Reject malformed PAC inputs before attempting authenticated requests,official_spec,high,KB-010,
core_canonical,REC-RUL-004,Normative and technical sources align that QR and hyperlink are two renderings of the same verification path,RUL-076,QR code represents verification URL,rendering,Printed QR code is a machine-readable representation of the verification URL and must respect the documented minimum size of 40x40mm while electronic receipts may use the clickable verification URL instead,error,Receipt output and rendering,Printed receipts must render a scannable QR code and electronic receipts must preserve the verification hyperlink,official_spec,high,KB-006; KB-010,
core_canonical,REC-RUL-013,These primitives are directly supported by concepts and protocol material,RUL-077,MRC canonical structure and audit obligation,validation,Manufacturer Registration Code must follow the three-part ProductCode-ProductVersionCode-DeviceSerialNumber structure where ProductCode has 2 alphanumeric characters ProductVersionCode has 4 alphanumeric characters and all three parts are mandatory for audit packages,error,E-SDC identity metadata and audit package generation,MRC serializers should preserve the three-part structure and never omit a part in audit data,official_spec,high,KB-006; KB-010,
guidance_canonical,REC-RUL-005,The JSON mode is explicit in the applications guidance but not part of the core LPFR protocol spec,RUL-078,Verification URL JSON negotiation,protocol,Public receipt-verification URL may return machine-readable JSON when called with Accept application/json in addition to the human-facing verification page,warning,Verification-system integration and debugging,Consumers can automate verification lookup without screen scraping,official_guidance,medium,KB-013,
reference_only,REC-RUL-015,Useful for adapter work but the authoritative contract remains the official CreateInvoice protocol,RUL-079,V-SDC reference request envelope,protocol,Reference V-SDC integration uses the same POST /api/v3/invoices body contract together with a client certificate selected by subject CN and a PAC header while Accept-Language and RequestId remain optional headers,warning,Connected-scenario V-SDC integration,Model transport/auth concerns separately from the fiscal invoice payload itself,reference_impl,medium,REF-002,Reference-only transport sample; do not elevate above the official CreateInvoice contract even though it is useful for adapter work
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-080,Serbian codebook versus generic TaxCore buyer examples,validation,Generic TaxCore examples such as raw Buyer TIN strings like RS34564565 or DT12345 are not by themselves the Serbian codebook shape and Serbian buyer-identification validation must prefer the documented code-prefixed format when the Serbia buyer-identification feature is in use,warning,Reconciling jurisdiction-neutral samples with the Serbian profile,Do not treat generic Buyer TIN examples as the canonical Serbian buyerId syntax,derived_from_official,high,KB-006; KB-005; KB-016,This prevents non-Serbian examples from weakening Serbian validators
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-081,PIB family code reuse,validation,Serbian buyer identification codes 10 and 14 both denote PIB-based domestic legal-entity identifiers and should therefore reuse the same payload validator profile,warning,Invoice with Serbian buyer identification codes 10 or 14,Do not diverge validators only because one code is the agricultural-subject branch,derived_from_official,high,KB-005; KB-016,The business scenario differs but the identifier family is the same
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-082,JMBG family code reuse,validation,Serbian buyer identification codes 11 and 15 both denote JMBG-based domestic natural-person identifiers and should therefore reuse the same payload validator profile,warning,Invoice with Serbian buyer identification codes 11 or 15,Do not diverge validators only because one code is the agricultural-subject branch,derived_from_official,high,KB-005; KB-016,The business scenario differs but the identifier family is the same
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-083,Code 12 segment validator families,validation,Serbian buyer identification code 12 must validate two payload segments after the prefix where the first segment follows the PIB-family validator profile and the second segment follows a numeric JBKJS-family validator profile,error,Invoice with Serbian buyer identification code 12,Validators should reject missing segments extra separators or non-numeric JBKJS payloads before deeper business checks,derived_from_official,high,KB-005; KB-016,Official materials provide the composite structure and examples while stopping short of publishing an exact JBKJS digit count
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-084,BPG is a number-family identifier,validation,Serbian buyer identification code 16 denotes the unique number of an agricultural holding and should be validated as a number-family identifier rather than free text,warning,Invoice with Serbian buyer identification code 16,Validators should keep code 16 aligned with numeric identifier handling unless stronger official formatting appears,derived_from_official,medium,KB-005; KB-016,The codebook names it as a unique number but does not publish the exact national digit count
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-085,Document-number buyer code family,validation,Serbian buyer identification codes 13 and 20 through 23 and 30 through 36 represent pension-card passport personal-card refugee diplomatic or residency document numbers and the reviewed official sources do not publish a stricter regex for them,error,Invoice with Serbian document-number buyer identification,Validators should preserve the entered document identifier subject to the code:value structure and the generic length limit instead of imposing PIB JMBG or BPG-style numeric patterns,derived_from_official,high,KB-005; KB-012; KB-016,This is an explicit choice to avoid false negatives from undocumented country-specific document formats
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-086,Optional field code semantic families,validation,Serbian buyer optional field codes 20 and 21 are form-number families while codes 30 through 33 are Tax Authority confirmation-number families and code 50 is a corporate-card number family,error,Invoice with Serbian optional buyer field,Validators should treat these codes as structured document-number annotations rather than generic free-text reasons,derived_from_official,high,KB-005; KB-012; KB-016,No stricter official regex is published for these subfamilies beyond the generic alphanumeric guidance
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-087,Diplomatic official-use coupling,validation,Official-use purchases by embassies and international organizations align the buyer identification with the PIB-family branch and optional field code 20 for the SNPDV form number,warning,Special Serbian diplomatic official-use sale flow,Prefer buyerId code 10 plus optional field code 20 when implementing the documented SNPDV scenario,derived_from_official_plus_codebook,medium,KB-012; KB-016,The guidance states PIB plus SNPDV while the codebook supplies the exact optional-field code
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-088,Diplomatic personal-use coupling,validation,Personal-use purchases by diplomatic or international-organization representatives align the buyer identification with the diplomatic-ID branch and optional field code 21 for the LNPDV form number,warning,Special Serbian diplomatic personal-use sale flow,Prefer buyerId code 31 plus optional field code 21 when implementing the documented LNPDV scenario,derived_from_official_plus_codebook,medium,KB-012; KB-016,The guidance states diplomatic ID plus LNPDV while the codebook supplies the exact code pairing
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-089,Foreign TIN prefix guidance for code 40,validation,When Serbian buyer identification code 40 is used the payload may preserve the generic foreign-TIN formatting guidance where an ISO 3166-1 alpha-2 country prefix is used and the remainder may contain digits letters spaces or hyphens,warning,Invoice with Serbian buyer identification code 40,Do not strip or over-normalize country prefixes and separators from a foreign TIN unless a stronger local rule requires it,derived_from_official_plus_codebook,medium,KB-006; KB-016,This extends the generic foreign-TIN guidance into the Serbian code-40 branch
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-090,Optional buyer-field flow scope,validation,Optional buyer field is not gated only by receipt type because reviewed official sources show valid use on Promet Prodaja sale scenarios and on Promet Refundacija corporate-card aggregate refund scenarios whenever the buyer-identification codebook and the concrete business flow require it,warning,Receipt generation with buyer optional field,Do not hardcode buyerCostCenterId as Promet Prodaja-only or Refund-only,derived_from_official,high,KB-005; KB-008; KB-012,The ESIR manual common-mistakes wording is treated as simplified shorthand rather than the canonical gate
guidance_canonical,transform_resolution,Lower-authority noncash refund customer-trace guidance retained as guidance,RUL-091,Noncash refund buyer-trace guidance,operational,When money is returned to the buyer card or another noncash instrument guidance material says the seller should not require an ID document or JMBG and that the buyer receipt number is sufficient for refund tracing,warning,Noncash refund branch,Noncash refund UX should not force document capture before the refund path can continue,official_guidance,medium,KB-012,Guidance-only customer-trace rule; it does not by itself publish a canonical CreateInvoice field pattern
derived_layer,REC-RUL-010,This family is useful and evidence-based but explicitly contains inference and non-publication findings rather than direct published regexes,RUL-092,Serbian codebook is semantic not a published national-length spec,validation,The reviewed Serbian codebook and technical guide publish code meanings family examples and a few explicit composite formats such as 12:PIB:JBKJS and 60:ddmmgggg_ddmmgggg but they do not publish exact national digit lengths or a full regex for PIB JMBG JBKJS BPG passport and related document numbers,error,Designing Serbian buyer validators,Do not hardcode stricter per-code national lengths unless a stronger official source is added to the corpus,derived_from_official,high,KB-016; KB-005; KB-006,This turns the remaining buyer-validator gap into an explicit non-publication finding rather than an extraction omission
guidance_canonical,transform_resolution,Lower-authority on-site refund document-choice guidance retained as guidance,RUL-093,On-site refund guidance excludes JMBG capture,validation,Guidance for refunding money to the customer on site explicitly says the system should capture an ID-card number or another codebook document and not JMBG,warning,On-site refund to customer flow,Prefer refund buyer document-number codes such as domestic ID-card code 20 over JMBG-family codes unless a stronger source defines an allowed exception,official_guidance,medium,KB-012; KB-005,Guidance-level rule for document choice in the on-site refund branch and not a general refund-schema substitute
derived_layer,transform_resolution,Non-publication finding retained as derived layer after REC-RUL-011 split,RUL-094,Noncash refund invoice shape is not published in the reviewed corpus,protocol,The reviewed official material confirms the operational rule for noncash refunds but does not publish a dedicated CreateInvoice payload example or an explicit statement whether buyerId should be omitted preserved or replaced by another field in that branch,warning,Canonical modeling of noncash refund request shape,Keep the catalog at the guidance level and avoid inventing a noncash refund field pattern that the reviewed corpus does not state,derived_from_official,high,KB-012; KB-005; KB-017; REF-001,Second-pass non-publication finding; do not synthesize buyerId or buyerCostCenterId behavior that the reviewed corpus does not actually publish
guidance_canonical,REC-RUL-008,This family mixes hard request-shape rules with manual and taxpayer-facing flow requirements,RUL-095,RequestId header,protocol,RequestId is an optional POS-generated CreateInvoice header with max length 32 used for later request search and recovery,error,CreateInvoice request correlation,Reject or normalize RequestId values longer than 32 before sending,official_spec,high,KB-006,Used by GetLastSignedInvoice
guidance_canonical,REC-RUL-008,This family mixes hard request-shape rules with manual and taxpayer-facing flow requirements,RUL-096,RequestId uniqueness across shared E-SDC,operational,If multiple POS clients share one E-SDC the RequestId must be unique at the shared E-SDC scope and the spec recommends GUID or POS_id plus request_id,error,GetLastSignedInvoice recovery in multi-POS setups,Collision-free recovery lookup,official_spec,high,KB-006,Operational guidance from GetLastSignedInvoice
guidance_canonical,REC-RUL-008,This family mixes hard request-shape rules with manual and taxpayer-facing flow requirements,RUL-097,GetLastSignedInvoice non-volatile retention,operational,E-SDC should store at least the latest response in non-volatile memory and keep it at least until the next request and in multi-SE setups it should index by request_id plus secure-element UID,warning,Recovery after transport failure or power loss,POS can safely query the last signed invoice after failures,official_spec,high,KB-006,Operational guidance from GetLastSignedInvoice
guidance_canonical,REC-RUL-005,The JSON mode is explicit in the applications guidance but not part of the core LPFR protocol spec,RUL-098,Public verification JSON mode,protocol,The public invoice verification URL supports GET with Accept application/json and returns a machine-readable verification payload without authentication,warning,Receipt verification outside ESIR or POS,The same verification URL can serve human and machine clients,official_guidance,high,KB-013,Applications guide documents the JSON mode explicitly
reference_only,REC-RUL-016,These rows are helpful for future adapters but remain implementation evidence,RUL-099,PKI applet locked state in reference reader,operational,Reference smart-card reader treats status word 0x6983 during PKI PIN verification as a locked PKI applet state,warning,Reference security-adapter behavior,Surface a dedicated locked state instead of a generic wrong-PIN error,reference_impl,medium,REF-005,Reference-only adapter UX rule and not part of the official fiscal protocol corpus
reference_only,REC-RUL-016,These rows are helpful for future adapters but remain implementation evidence,RUL-100,PKI remaining tries encoding in reference reader,operational,Reference smart-card reader interprets PKI wrong-PIN SW1 0x63 with SW2 encoded as 0xC0 plus remaining tries and the UI subtracts 192 to display the remaining attempts,warning,Reference PKI PIN UX,Expose remaining tries when available instead of discarding SW2,reference_impl,medium,REF-005,Reference-only adapter UX rule derived from CardReaderService and VerifyPinDialogViewModel
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-101,VerifyPin ASCII digit format,validation,VerifyPin request body must be a plain-text string containing exactly 4 ASCII digits 0 through 9,error,E-SDC VerifyPin request validation,Return invalid-format status instead of forwarding malformed PIN bytes,official_spec,high,KB-006,The service description makes this stricter than a generic four-character rule
guidance_canonical,TXC-RUL-001,Public shared-service preference is explicit but remains an operational guidance rule rather than a hard transport invariant,RUL-102,Shared TaxCore data can be sourced from SDC,operational,Configuration and tax-rate data are publicly available from shared TaxCore.API services but the specification explicitly says the same data can be obtained from any SDC device and that SDC retrieval is the preferred option when available,warning,Bootstrap and environment setup,Prefer local SDC bootstrap for runtime integration and use shared services as a public fallback or provisioning path,official_spec,high,KB-006,This keeps the separate contract surface visible without forcing implementations to duplicate bootstrap logic unnecessarily
core_canonical,TXC-RUL-002,Backend token lifetime and reuse are explicitly documented,RUL-103,Authentication token lifetime and reuse,protocol,Request Authentication Token returns a token that is valid for 8 hours by default and the same token must be reused for subsequent TaxCore.API E-SDC calls until expiresAt,error,E-SDC backend session management,Request a new token only when the current token is missing or expired,official_spec,high,KB-006,If a new token is requested while the current one is still valid TaxCore returns the current token
core_canonical,TXC-RUL-003,Backend token header requirement is explicitly documented across E-SDC services,RUL-104,Token header required for E-SDC backend services,protocol,All reviewed TaxCore.API E-SDC backend operations except Request Authentication Token require TaxCoreAuthenticationToken in the request headers,error,Calling E-SDC backend services after token acquisition,Do not call commands status audit or audit-proof endpoints without the token header,official_spec,high,KB-006,Applies to Get Initialization Commands Notify Online Status Notify Command Processed Submit Audit Package and Submit Audit Request Payload
core_canonical,TXC-RUL-004,Notify Online Status command-return gate is explicitly documented,RUL-105,Notify Online Status command-return gate,protocol,Notify Online Status returns command data only when the request body indicates true while false reports the offline transition without downloading commands,warning,E-SDC online or offline heartbeat,Do not assume a command pull occurs on offline notifications,official_spec,high,KB-006,The reviewed text alternates between quoted strings and bare JSON booleans for this body
core_canonical,TXC-RUL-005,ProofOfAuditRequest composition is explicitly documented as the bridge between APDU audit data and the HTTP audit-proof endpoint,RUL-106,ProofOfAuditRequest composition,protocol,ProofOfAuditRequest must be built from Base64 encoded Start Audit APDU bytes together with the current sum and limit returned by Amount Status,error,Submit Audit Request Payload flow,Use the exact Start Audit and Amount Status outputs from the same secure-element state when creating the HTTP request,official_spec,high,KB-006,This is the bridge between the APDU audit flow and the TaxCore.API audit-proof endpoint
core_canonical,TXC-RUL-006,Audit-package deletion on verified status is explicitly documented,RUL-107,Delete audit package on verified status,operational,If Submit Audit Package returns audit status 4 the corresponding local audit package must be deleted immediately,error,Post-submit audit package handling,Verified audit packages must not stay queued in local storage,official_spec,high,KB-006,The note after AuditDataStatus marks this behavior explicitly
core_canonical,TXC-RUL-007,Audit-package resubmission is explicitly restricted to status 1,RUL-108,Retry audit package only on status 1,operational,E-SDC should retry Submit Audit Package only when AuditDataStatus status 1 is returned and should not retry other audit-status values,error,Post-submit audit package handling,Restrict automatic resubmission to the documented server-storage failure case,official_spec,high,KB-006,The note after AuditDataStatus marks status 1 as the only retryable case
derived_layer,TXC-RUL-008,This captures a source-level divergence between shared Tax Rates and GetStatus currentTaxRates shapes,RUL-109,currentTaxRates shape differs between shared and LPFR surfaces,protocol,The reviewed corpus publishes currentTaxRates as an array in the shared Tax Rates service example but as a singular TaxRateGroup object in GetStatusResponse so serializers must not assume both surfaces have an identical shape,warning,Normalizing shared TaxCore.API and LPFR tax metadata,Keep the two contracts distinct even though they share TaxRateGroup semantics,derived_from_official,high,KB-006,This is a source-level divergence and not just an implementation preference
