CatalogLayer,LayerBasis,LayerNotes,TypeId,CanonicalName,SourceName,Category,Layer,Version,Description,Authority,Confidence,SourceRefs,Notes
core_canonical,REC-TYP-001,Official request model and manual example align on the core schema,TYP-001,InvoiceRequest,InvoiceRequest,request_dto,lpfr_service,v3,Official Create Invoice request payload,official_spec,high,KB-006,Canonical request shape should follow spec not sample app convenience fields
core_canonical,REC-TYP-002,Official request model and payment guidance support repeated payment allocations,TYP-002,PaymentItem,Payment,component_dto,lpfr_service,v3,One payment allocation entry inside InvoiceRequest,official_spec,high,KB-006,Canonical internal name; source-published component name is Payment and the spec supports multiple payment allocations
core_canonical,REC-TYP-003,Official response field cluster and two phase flow narrative align,TYP-003,InvoiceResult,InvoiceResult,response_dto,lpfr_service,v3,Official Create Invoice response payload,official_spec,high,KB-006,Reference app uses InvoiceResponse naming
core_canonical,REC-TYP-004,Official service contract and manual endpoint behavior support the response model,TYP-004,StatusResponse,GetStatusResponse,response_dto,lpfr_service,v3,Official Get Status response payload,official_spec,high,KB-006,Canonical internal name; source-published model name is GetStatusResponse
core_canonical,REC-TYP-005,Official environment contract defines the response and reference persistence is only supplemental,TYP-005,EnvironmentParametersResponse,EnvironmentParametersResponse,response_dto,lpfr_service,v3,Official Get Environment Parameters response payload,official_spec,high,KB-006,Known endpoint members are repeated across official examples while parsers should stay forward-compatible with additional fields
core_canonical,REC-TYP-006,Official ModelErrors schema directly supports this type,TYP-006,ValidationErrorResponse,ModelErrors,error_dto,lpfr_service,v3,Structured validation error payload with property-level errors,official_spec,high,KB-006,Official ModelErrors schema extracted from the specification
core_canonical,REC-TYP-007,Official request model and receipt content inventories support item modeling,TYP-007,InvoiceItem,Item,component_dto,lpfr_service,v3,Official invoice item payload,official_spec,high,KB-006,Used in InvoiceRequest only in the official spec
core_canonical,REC-TYP-008,Official response field cluster explicitly contains the tax item shape,TYP-008,TaxItem,TaxItem,component_dto,lpfr_service,v3,Official tax breakdown payload in InvoiceResult,official_spec,high,KB-006,Returned after fiscalization
core_canonical,REC-TYP-009,The codebook and guidance support one buyer identification value object with code driven semantics,TYP-009,BuyerIdentification,buyerId,value_object,domain,rs,Canonical buyer identification value across Serbian flows,official_technical,high,KB-005; KB-016,Codebook is extracted and strict per-code regexes remain the only open tightening step
core_canonical,REC-TYP-010,Rulebook and technical guidance confirm one context driven reference document concept,TYP-010,ReferentDocument,referentDocument,component_dto,domain,rs,Reference to a prior invoice or relevant document,official_technical,medium,KB-003; KB-005; KB-006,Rules depend on invoice and transaction context
core_canonical,REC-TYP-011,Official request model and manual example both expose the same option flags,TYP-011,InvoiceOptions,inline_model(options),component_dto,lpfr_service,v3,Create Invoice output control options,official_spec,high,KB-006,Canonical internal name; the source table exposes this as an unnamed inline model
core_canonical,REC-TYP-012,Official environment response defines the endpoint bundle and reference persistence only mirrors it,TYP-012,EnvironmentEndpoints,endpoints,component_dto,lpfr_service,v3,Environment endpoint bundle returned by Get Environment Parameters,official_spec,high,KB-006; REF-001,Known keys taxpayerAdminPortal taxCoreApi vsdc and root are repeated in official examples and mirrored by the reference app but the object should remain open-ended
core_canonical,REC-TYP-013,VerifyPin transport and formatting rules define this primitive cleanly,TYP-013,PinPlainText,PinString,primitive,lpfr_service,v3,Plain text PIN body used by VerifyPin,official_spec,high,KB-006; KB-010,Exactly four ASCII digits and reused as the smart-card PIN concept
core_canonical,REC-TYP-014,Plain text status code behavior is explicit in the VerifyPin contract and manual matrices,TYP-014,GeneralStatusCodeText,StatusCodeString,primitive,lpfr_service,v3,Plain text general status or error code,official_spec,high,KB-006,Used by VerifyPin and status arrays
core_canonical,REC-TYP-015,The buyer codebook is the primary authority for this prefix family,TYP-015,BuyerIdentificationCode,buyerId code,value_object,domain,rs,Prefix code used in buyerId to determine identification document kind,official_technical,high,KB-016; KB-005,Value always precedes the identifier payload
core_canonical,REC-TYP-016,The optional buyer field codebook directly supports this prefix family,TYP-016,BuyerOptionalFieldCode,buyerCostCenterId code,value_object,domain,rs,Prefix code used in buyerCostCenterId to determine optional buyer-purpose field semantics,official_technical,high,KB-016; KB-005,Value always precedes the payload after a colon
core_canonical,REC-TYP-017,Official APDU response definition is direct and complete,TYP-017,SecureElementVersionResponse,GetSecureElementVersion response,response_dto,secure_element,applet,Secure element version response containing major minor patch segments,official_spec,high,KB-006,Three unsigned integer version segments in 12 bytes
core_canonical,REC-TYP-018,Official APDU response definition is direct and complete,TYP-018,SecureElementCertParamsResponse,GetCertParams response,response_dto,secure_element,applet,UID and certificate validity timestamps returned by secure element,official_spec,high,KB-006,
core_canonical,REC-TYP-019,Official APDU structure and audit threshold guidance align on the same payload,TYP-019,AmountStatusResponse,Amount Status response,response_dto,secure_element,applet,Current signed amount and secure element limit payload,official_spec,high,KB-006,Current extraction captures the exact 7-byte sum and 7-byte limit split
core_canonical,REC-TYP-020,Official APDU structure is primary and reference samples provide version delta detail,TYP-020,SignInvoiceApduRequest,Sign Invoice command data,request_dto,secure_element,applet,Byte-level command payload sent to secure element for signing,official_spec,high,KB-006,Current extraction captures the canonical 7-byte amount layout and CRC variant
core_canonical,REC-TYP-021,Official Sign Invoice and Get Last Signed Invoice sections support the same response structure,TYP-021,SignInvoiceApduResponse,Sign Invoice response data,response_dto,secure_element,applet,Byte-level fiscalization payload returned by secure element after signing,official_spec,high,KB-006,Current extraction captures counters encrypted data signature and optional CRC
derived_layer,REC-TYP-022,Official evidence proves the APDU command but not a meaningful request body schema,TYP-022,LastSignedInvoiceRequest,Get Last Signed Invoice request,request_dto,secure_element,applet,Empty invocation marker for replaying the last signed invoice payload through the APDU command,official_spec,high,KB-006,No command data body is defined; keep only as a symmetry marker if useful
core_canonical,REC-TYP-023,Official APDU section explicitly reuses the Sign Invoice response structure,TYP-023,LastSignedInvoiceResponse,Get Last Signed Invoice response,response_dto,secure_element,applet,Last signed invoice data replay with same structure as Sign Invoice response,official_spec,high,KB-006,
core_canonical,REC-TYP-024,Official APDU contract directly supports an opaque directive payload type,TYP-024,ForwardSecureElementDirectiveRequest,Forward Secure Element Directive request,request_dto,secure_element,applet,Opaque directive payload received from TaxCore and forwarded to secure element,official_spec,high,KB-006,512 byte payload with optional CRC
core_canonical,REC-TYP-025,Official ModelError entry shape directly supports this type,TYP-025,ValidationErrorItem,ModelError,component_dto,lpfr_service,v3,Property-level validation error entry inside ValidationErrorResponse,official_spec,high,KB-006,Contains the property path and the associated shared status codes
core_canonical,REC-TYP-026,The BE rulebook directly enumerates allowed form factors,TYP-026,SecurityElementFormFactor,BE form factor,value_object,secure_element,rs,Normative allowed issuance forms for the Serbian security element,normative,high,KB-011,Extracted from the BE rulebook not from a wire protocol
core_canonical,REC-TYP-027,The BE rulebook directly describes the required counter families,TYP-027,SecurityElementCounterFamily,BE counter family,value_object,secure_element,rs,Normative counter families that the Serbian security element must maintain and increase after each transaction,normative,high,KB-011,Describes legal counter obligations rather than an exposed API schema
core_canonical,REC-TYP-028,Certificate export and cert params support the same UID primitive,TYP-028,Uid,UID,primitive,domain,shared,Cross-layer secure-element unique identifier used in certificates invoice numbers and status payloads,official_spec,high,KB-006; KB-010,Always 8 uppercase alphanumeric characters and stored in the certificate Subject SERIALNUMBER field
core_canonical,REC-TYP-029,Concepts material defines this primitive explicitly,TYP-029,PacCode,PAC,primitive,domain,shared,Authentication code associated with a PFX certificate for connected fiscalization,official_spec,high,KB-010,Always 6 uppercase alphanumeric characters
core_canonical,REC-TYP-030,Concepts material defines this primitive explicitly,TYP-030,PfxCertificatePassword,PFX Certificate Password,primitive,domain,shared,Installation password associated with an issued PFX certificate,official_spec,high,KB-010,Always 8 uppercase alphanumeric characters
core_canonical,REC-TYP-031,Concepts and protocol guidance align on MRC structure and usage,TYP-031,ManufacturerRegistrationCode,MRC,value_object,domain,shared,Manufacturer registration code attached to E-SDC products and audit packages,official_spec,high,KB-006; KB-010,Canonical three-part format ProductCode-ProductVersionCode-DeviceSerialNumber
core_canonical,REC-TYP-032,Conceptual rendering and public verification guidance support one unified verification URL concept,TYP-032,VerificationUrl,Verification URL,primitive,domain,shared,Unified invoice-verification hyperlink returned after fiscalization and used for public receipt validation,official_spec,high,KB-010; KB-013,Printed QR codes are a machine-readable representation of this URL
core_canonical,REC-TYP-033,CreateInvoice transport detail and recovery guidance define this correlation primitive,TYP-033,RequestId,RequestId,primitive,domain,shared,Unique POS-generated request identifier used for invoice correlation and last-invoice recovery,official_spec,high,KB-006,Optional CreateInvoice header with max length 32
guidance_canonical,REC-TYP-034,Applications guidance explicitly documents the JSON verification payload,TYP-034,InvoiceVerificationResponse,Invoice verification JSON response,response_dto,public_verification,v1,Machine-readable receipt verification payload returned from the public verification URL,official_guidance,high,KB-013,Guidance-backed public verification type and not part of the core LPFR protocol schema
guidance_canonical,REC-TYP-035,The applications guide explicitly exposes the nested request view,TYP-035,VerifiedInvoiceRequestView,invoiceRequest,component_dto,public_verification,v1,Verification payload view of original invoice request metadata,official_guidance,high,KB-013,Guidance-backed nested verification view containing business buyer and payment metadata
guidance_canonical,REC-TYP-036,The applications guide explicitly exposes the nested payment view,TYP-036,VerifiedPaymentItem,payments,component_dto,public_verification,v1,One payment allocation entry inside the public verification response,official_guidance,high,KB-013,Guidance-backed verification subtype; applications guide shows numeric enum values
guidance_canonical,REC-TYP-037,The applications guide explicitly exposes the nested result view,TYP-037,VerifiedInvoiceResultView,invoiceResult,component_dto,public_verification,v1,Verification payload view of returned fiscalization metadata,official_guidance,high,KB-013,Guidance-backed nested verification view containing counters invoice number signedBy and sdcTime
reference_only,REC-TYP-038,Official corpus supports certificate export but not this exact helper object,TYP-038,CertificateMetadata,Certificate,reference_model,certificate_adapter,ref,Reference certificate metadata shape exposed by the TaxCore certificate library,reference_impl,medium,REF-006,Reference-only adapter model and not canonical fiscal protocol truth
core_canonical,REC-TYP-039,Official audit commands support one opaque proof payload consumed at audit finalization,TYP-039,ProofOfAudit,Proof of Audit payload,primitive,secure_element,applet,Opaque byte payload submitted when finishing a local audit session,official_spec,high,KB-006; REF-005,StopAudit flow expects a 256-byte proof payload
core_canonical,transform_resolution,New core primitive added while resolving official ExportCertificateApdu output,TYP-040,ExportedCertificateDer,Export Certificate response,primitive,secure_element,applet,Opaque DER-encoded taxpayer certificate exported from the secure element,official_spec,high,KB-006,Returned by ExportCertificateApdu and used as the source for UID TIN and location metadata
core_canonical,transform_resolution,New core primitive added while resolving GetPinTriesLeftFromSEApplet output,TYP-041,PinTriesLeft,Get PIN tries left response,primitive,secure_element,applet,One-byte payload describing remaining secure-element PIN attempts before lockout,official_spec,high,KB-006,00 means blocked and non-zero values report remaining tries
core_canonical,transform_resolution,New core primitive added while resolving ExportTaxCorePublicKeyApdu output,TYP-042,TaxCorePublicKey,Export TaxCore Public Key response,primitive,audit,applet,Opaque 259-byte public-key payload used to encrypt audit packages,official_spec,high,KB-006,Contains a 256-byte modulus and a 3-byte exponent
core_canonical,transform_resolution,New core primitive added while resolving official ExportAuditDataApdu output,TYP-043,ExportedAuditData,Export Audit Data response,primitive,audit,applet,Opaque encrypted audit-data payload exported from the secure element for audit workflows,official_spec,high,KB-006,Length depends on internal-data size and CRC mode
core_canonical,transform_resolution,New core primitive added while resolving StartAuditApdu output,TYP-044,AuditRequestPayload,Start Audit response,primitive,audit,applet,Opaque encrypted auditRequestPayload returned by StartAuditApdu for submission to TaxCore,official_spec,high,KB-006,Returned as 260 bytes without CRC or 264 bytes with CRC and is distinct from the published HTTP ProofOfAuditRequest wrapper
core_canonical,TXC-TYP-001,Shared Configuration service exposes a distinct public response shape even though it mirrors EnvironmentParametersResponse,TYP-045,TaxCoreConfigurationResponse,Configuration response,response_dto,taxcore_api_shared,v3,Public TaxCore configuration response returned by the Configuration service,official_spec,high,KB-006,Canonical wrapper for the shared backend response shape; the source section names the service but not a standalone DTO
core_canonical,TXC-TYP-002,Shared Tax Rates service exposes a distinct response wrapper around current and historical tax-rate groups,TYP-046,TaxRatesResponse,Tax Rates response,response_dto,taxcore_api_shared,v3,Public TaxCore tax-rates response returned by the Tax Rates service,official_spec,high,KB-006,Contains currentTaxRates and allTaxRates and complements the tax metadata exposed by GetStatusResponse
core_canonical,TXC-TYP-003,TaxRateGroup is source-published and reused across shared TaxCore services and GetStatus,TYP-047,TaxRateGroup,TaxRateGroup,component_dto,taxcore_api_shared,v3,Published tax-rate-group structure reused by shared TaxCore services and GetStatusResponse,official_spec,high,KB-006,Source model is named explicitly and examples show nested taxCategories arrays
core_canonical,TXC-TYP-004,TaxCategory is source-published and reused across tax-rate-bearing services,TYP-048,TaxCategory,TaxCategory,component_dto,taxcore_api_shared,v3,Published tax-category structure inside TaxRateGroup,official_spec,high,KB-006,Source model table names field type while examples serialize categoryType
core_canonical,TXC-TYP-005,TaxRate is source-published and reused across tax-rate-bearing services,TYP-049,TaxRate,TaxRate,component_dto,taxcore_api_shared,v3,Published tax-rate structure inside TaxCategory,official_spec,high,KB-006,
core_canonical,TXC-TYP-006,Shared Environments service returns an array of explicit environment descriptor objects,TYP-050,EnvironmentDescriptor,Environment entry,component_dto,taxcore_api_shared,v3,One environment entry returned by the Environments service,official_spec,high,KB-006,The service response is an array of these objects
core_canonical,TXC-TYP-007,Shared Encryption Certificate service returns a public certificate payload as a base64 string,TYP-051,EncryptionCertificateBase64,Encryption Certificate response,primitive,taxcore_api_shared,v3,Base64 encoded raw X509 public-key certificate returned by the Encryption Certificate service,official_spec,high,KB-006,Transport payload is a JSON string rather than an object
core_canonical,TXC-TYP-008,Request Authentication Token publishes a distinct backend response model,TYP-052,AuthenticationTokenResponse,Request Authentication Token response,response_dto,taxcore_api_esdc,v3,Published token response used by E-SDC backend services,official_spec,high,KB-006,Token is reused for other TaxCore.API E-SDC operations until expiresAt
core_canonical,TXC-TYP-009,A tiny normalized body primitive keeps the documented true or false backend request shape explicit,TYP-053,TaxCoreBooleanFlagBody,true|false body,primitive,taxcore_api_esdc,v3,Normalized request-body primitive for E-SDC boolean-flag operations,official_spec,medium,KB-006,Namespace-scoped canonical transport primitive because the reviewed text alternates between quoted string true or false and a bare JSON boolean example
core_canonical,TXC-TYP-010,Command is source-published and reused across multiple E-SDC backend services,TYP-054,Command,Command,component_dto,taxcore_api_esdc,v3,Published E-SDC command structure returned by backend command services,official_spec,high,KB-006,Responses are arrays of Command objects
core_canonical,TXC-TYP-011,AuditPackage is source-published and should not stay implicit behind generic JSON blobs,TYP-055,AuditPackage,AuditPackage,request_dto,taxcore_api_esdc,v3,Published audit package request model submitted to the E-SDC audit endpoint,official_spec,high,KB-006,JSON wrapper around encrypted audit data
core_canonical,TXC-TYP-012,AuditDataStatus is source-published and paired with a documented status family,TYP-056,AuditDataStatus,AuditDataStatus,response_dto,taxcore_api_esdc,v3,Published audit-submission response containing verification status and optional commands,official_spec,high,KB-006,Status meanings are documented separately and extend beyond the abbreviated inline enum shown next to the model
core_canonical,TXC-TYP-013,ProofOfAuditRequest is source-published and distinct from the opaque Start Audit APDU output,TYP-057,ProofOfAuditRequest,ProofOfAuditRequest,request_dto,taxcore_api_esdc,v3,Published audit-proof request model submitted to the E-SDC audit-proof endpoint,official_spec,high,KB-006,Distinct from the opaque Start Audit APDU output which becomes auditRequestPayload after Base64 encoding
core_canonical,TXC-TYP-014,Canonical wrapper type closes the top-level shared Environments array output while preserving EnvironmentDescriptor as the source-published element model,TYP-058,EnvironmentDescriptorList,Array[EnvironmentDescriptor],response_dto,taxcore_api_shared,v3,Canonical wrapper for the top-level array response returned by the Environments service,official_spec,high,KB-006,Introduced to keep contract output references closed without relying on raw [] notation
core_canonical,TXC-TYP-015,Canonical wrapper type closes the top-level command-array outputs returned by E-SDC backend services while preserving Command as the source-published element model,TYP-059,CommandList,Array[Command],response_dto,taxcore_api_esdc,v3,Canonical wrapper for top-level array responses that contain Command entries,official_spec,high,KB-006,Used by GetInitializationCommands and NotifyOnlineStatus to avoid raw [] notation in contract references
