UnitId,ModuleName,ImplementationBucket,PrimaryArtifacts,PrimaryRows,CatalogLayer,ImplementationPriority,Notes
IU-001,Core.Domain.ReceiptTaxonomy,stable_domain,"finalized_enums.csv; finalized_rules.csv","RSReceiptKind; RSFiscalDocumentKind; RSTransactionKind; RSPaymentMethod; core receipt/payment rules",core_canonical,high,Legal Serbian receipt and payment taxonomy should stay independent from transport DTOs
IU-002,Core.Domain.BuyerProfile,stable_domain,"finalized_types.csv; finalized_enums.csv; finalized_rules.csv","BuyerIdentification; BuyerIdentificationCode; BuyerOptionalFieldCode; RSBuyerIdentificationCode; RSBuyerOptionalFieldCode; buyer baseline rules",core_canonical,high,This is one of the most stable and regulation-driven parts of the model
IU-003,Core.Domain.CrossLayerIds,stable_domain,"finalized_types.csv; finalized_rules.csv","Uid; PacCode; PfxCertificatePassword; ManufacturerRegistrationCode; VerificationUrl; RequestId",core_canonical,high,Cross-layer identifiers should be modeled once and reused by transport and adapters
IU-004,Core.Domain.SecurityElementLegalModel,stable_domain,"finalized_types.csv; finalized_enums.csv; finalized_rules.csv","SecurityElementFormFactor; SecurityElementCounterFamily; BE lifecycle and binding rules",core_canonical,high,Normative BE rules should not be buried inside adapter code
IU-005,Contracts.Lpfr.V3.InvoiceFlow,versioned_lpfr_http_dto,"finalized_contracts.csv; finalized_types.csv; finalized_fields.csv","CreateInvoice; InvoiceRequest; PaymentItem; InvoiceItem; InvoiceOptions; InvoiceResult; TaxItem",core_canonical,high,Main fiscalization HTTP surface
IU-006,Contracts.Lpfr.V3.StatusAndBootstrap,versioned_lpfr_http_dto,"finalized_contracts.csv; finalized_types.csv; finalized_fields.csv","GetStatus; GetEnvironmentParameters; Attention; StatusResponse; EnvironmentParametersResponse; EnvironmentEndpoints",core_canonical,high,Status and bootstrap should remain versioned transport contracts
IU-007,Contracts.Lpfr.V3.ValidationAndPin,versioned_lpfr_http_dto,"finalized_contracts.csv; finalized_types.csv; finalized_errors_statuses.csv","VerifyPin; PinPlainText; GeneralStatusCodeText; ValidationErrorResponse; ValidationErrorItem; GENERAL_STATUS_CODE",core_canonical,high,Keep text/plain and structured validation concerns explicit
IU-008,Contracts.SecurityElement.Signing,versioned_se_apdu_dto,"finalized_contracts.csv; finalized_types.csv; finalized_fields.csv","SelectSEApplet; GetSecureElementVersion; GetCertParams; SignInvoiceApdu; AmountStatusApdu; GetLastSignedInvoiceApdu; related APDU DTOs",core_canonical,high,SE byte layouts and version gates belong in a dedicated contract layer
IU-009,Contracts.SecurityElement.Audit,versioned_se_apdu_dto,"finalized_contracts.csv; finalized_types.csv","ExportCertificateApdu; ExportAuditDataApdu; EndAuditApdu; GetPinTriesLeftFromSEApplet; ExportTaxCorePublicKeyApdu; StartAuditApdu; ProofOfAudit; ExportedAuditData; AuditRequestPayload",core_canonical,high,Audit and export flows should be isolated from the invoice HTTP layer
IU-010,Contracts.PublicVerification,optional_guidance_contract,"finalized_contracts.csv; finalized_types.csv; finalized_fields.csv","GetInvoiceVerificationJson; InvoiceVerificationResponse; VerifiedInvoiceRequestView; VerifiedPaymentItem; VerifiedInvoiceResultView",guidance_canonical,medium,Useful optional package and should not be mixed into the LPFR core namespace
IU-011,Validation.Core,validator_inventory,"finalized_rules.csv; finalized_errors_statuses.csv","core_canonical rules and core code families",core_canonical,high,Hard invariants and transport validators should be implemented first
IU-012,Validation.Guidance,validator_inventory,"finalized_rules.csv; finalized_errors_statuses.csv","guidance_canonical rules and LPFR_HTTP_EXPECTATION",guidance_canonical,medium,Approval-facing expectations should remain separable from the hard core
IU-013,Validation.Derived,validator_inventory,"finalized_rules.csv","derived_layer rules including payment crosswalk buyer-family derivations and non-publication findings",derived_layer,medium,Useful but must stay visibly inferred
IU-014,Adapters.Abstractions.LpfrServicePort,adapter_contract,"finalized_contracts.csv","CreateInvoice; GetStatus; GetEnvironmentParameters; VerifyPin; Attention; GetLastSignedInvoiceHttp",core_canonical,high,Main ESIR to LPFR boundary
IU-015,Adapters.Abstractions.SecurityElementPort,adapter_contract,"finalized_contracts.csv","SE applet selection signing version directive amount status recovery and audit contracts",core_canonical,high,Owns APDU framing version gates and command sequencing
IU-016,Adapters.Abstractions.SmartCardPkiPort,adapter_contract,"finalized_contracts.csv; finalized_errors_statuses.csv","SelectPKIApplet; ExportPkiCertificate; SMART_CARD_STATUS",mixed,medium,Separate because PKI applet behavior is partly reference-only
IU-017,Adapters.Abstractions.PublicVerificationPort,adapter_contract,"finalized_contracts.csv","GetInvoiceVerificationJson",guidance_canonical,low,Optional adapter around the public verification service
IU-018,Adapters.Abstractions.StatusNormalizer,adapter_contract,"finalized_errors_statuses.csv; finalized_rules.csv","GENERAL_STATUS_CODE; SE_APDU_STATUS; LPFR_HTTP_EXPECTATION; LPFR_TRANSPORT",mixed,medium,Prevents transport quirks from leaking into the higher domain
IU-019,Adapters.Reference.CertificateHelpers,reference_sidecar,"finalized_types.csv; finalized_enums.csv","CertificateMetadata; CertificateType",reference_only,low,Keep sample-backed certificate helpers out of the core canonical model
IU-020,Contracts.TaxCoreApi.Shared.BootstrapAndCatalog,versioned_taxcore_api_dto,"finalized_contracts.csv; finalized_types.csv; finalized_fields.csv","Configuration; TaxRates; Environments; EncryptionCertificate; TaxCoreConfigurationResponse; TaxRatesResponse; TaxRateGroup; TaxCategory; TaxRate; EnvironmentDescriptor; EnvironmentDescriptorList; EncryptionCertificateBase64",core_canonical,high,Public shared TaxCore.API bootstrap and tax-catalog surface is now normalized and should stay separate from LPFR service DTOs
IU-021,Contracts.TaxCoreApi.ESdc.BackendFlow,versioned_taxcore_api_dto,"finalized_contracts.csv; finalized_types.csv; finalized_fields.csv; finalized_enums.csv","RequestAuthenticationToken; GetInitializationCommands; NotifyOnlineStatus; NotifyCommandProcessed; SubmitAuditPackage; SubmitAuditRequestPayload; AuthenticationTokenResponse; TaxCoreBooleanFlagBody; Command; CommandList; CommandsType; AuditPackage; AuditDataStatus; ProofOfAuditRequest",core_canonical,high,Public E-SDC backend surface is now normalized and should stay separate from LPFR service DTOs and APDU contracts
IU-022,Validation.TaxCoreApi.ESdc,validator_inventory,"finalized_rules.csv; finalized_errors_statuses.csv","Authentication token rules; audit package resubmission and deletion rules; AUDIT_DATA_STATUS",core_canonical,high,Keep backend-token and audit-status handling explicit instead of burying it inside generic transport code
